year,id,espacios(rótulo_refined),Dirección,Epígrafe de actividad,Fecha de la inspección,Tipo de actuación,Perfil de la actividad,Estado higiénico sanitario,Frecuencia de inspección,macroetiquetas,year_2018,id_2,Fecha de la inspección_2,Tipo de actuación_2,Perfil de la actividad_2,Estado higiénico sanitario_2,Frecuencia de inspección_2,mejora o empeora,latitude,longitude,final_district,owner (education only),Denominación genérica,fuente alternativa
2019,3999,COLEGIO PÚBLICO,CALLE LOS YEBENES NUM 6 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,29/05/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,2018,6696,07/03/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.397443,-3.7553792,Latina,Centro público,,
2019,5,AMADEO VIVES (Escuela infantil),CALLE LOS YEBENES NUM 6 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,22/05/2019,Programada,Prioridad media,Desfavorable,Muy Alta,comedor social,2018,3,08/05/2018,Programada,Prioridad alta,Favorable,Alta,Empeora,40.397443,-3.7553792,Latina,Centro público,Infantil,
2018,foi,JUAN RARO,CALLE AMPARO NUM 84 ,561005 - BAR CON COCINA,,---,Prioridad media,Favorable,Media,bares/restaurantes,2018,6052,16/07/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.4069318,-3.7008736,Centro,,,
2018,foi,CENTRO GERIATRICO HORTALEZA,CALLE LAS PEDROÑERAS NUM 38 ,562903 - SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES,14/06/2018,---,Prioridad alta,Favorable condicionado,Alta,comedor social,,,,,,,,,40.4663262,-3.6305276,Hortaleza,Centro privado,,
2019,foi,E.I. CARANA CON COMEDOR,CALLE CARLOS SAN JOSE NUM 7 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,2019-04-22,---,Prioridad media,Favorable,Media,comedor social,2018,8643,15/03/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.4659447,-3.7819093,Moncloa-Aravaca,Centro privado,Infantil,
2019,foi,CARRUSEL,CALLE SAN NAZARIO NUM 12 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,2019-03-05,---,Prioridad alta,Favorable,Alta,comedor social,2018,7959,10/07/2018,Programada,Prioridad alta,Desfavorable,Muy Alta,Mejora,40.4480672,-3.6667929,Chamartín,Centro privado,Infantil,
2019,foi,LEVADURA MADRE,AVENIDA REINA VICTORIA NUM 52 ,472402 - COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,2019-04-30,---,Prioridad media,Favorable,Media,comercio,,,,,,,,,40.4467071,-3.7119755,Moncloa-Aravaca,,,
2019,2121,CONCORDY SNACK BAR HOTEL,AUTOVIA A-6 KM. 1200 EN,551001 - HOTELES Y MOTELES CON RESTAURANTE,13/03/2019,No programada,Prioridad media,Favorable,Media,bares/restaurantes,2018,3617,04/09/2018,No programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.4653686,-3.8065797,Moncloa-Aravaca,,,
2019,2799,BURGER KING HIPODROMO,AUTOVIA A-6 KM. 800 SA,561002 - RESTAURANTES DE COMIDA RAPIDA,10/01/2019,Programada,Prioridad media,Favorable,Media,bares/restaurantes,2018,4841,05/09/2018,No programada,Prioridad alta,Favorable,Alta,Sin cambios,40.4378576,-3.8645911,Moncloa-Aravaca,,,
2019,4061,CAMPSA,AUTOVIA A-6 KM. 800 SA,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",10/01/2019,Programada,Prioridad baja,Favorable,Baja,comercio,2018,6792,05/09/2018,No programada,Prioridad baja,Favorable,Baja,Sin cambios,40.4378576,-3.8645911,Moncloa-Aravaca,,,
2019,3059,MEDITERRANEA,AUTOVIA M-50 KM. 3400 IN,561004 - BAR RESTAURANTE,04/03/2019,Programada,Prioridad alta,Desfavorable,Muy Alta,bares/restaurantes,2018,5225,10/04/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Sin cambios,40.3328522,-3.6319233,Villa de Vallecas,,,
2018,5224,MEDITERRANEA,AUTOVIA M-50 KM. 3400 IN,551001 - HOTELES Y MOTELES CON RESTAURANTE,10/04/2018,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.3328522,-3.6319233,Villa de Vallecas,,,
2018,6924,LOS ALMENDROS,AUTOVIA M-607 KM. 1450 EN,562903 - SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES,14/05/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.5278709,-3.6917822,Fuencarral-El Pardo,,,
2019,142,SERVICIO COMEDOR C.P. SAN IGNACIO DE LOYOLA,AVENIDA ABRANTES NUM 15 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,26/03/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.3841797,-3.7230575,Carabanchel,Centro público,Centro Mixto,
